market_year,state,issuer_id,median_age40_premium,mean_age40_premium,minimum_age40_premium,rated_plans,rating_areas
2016,HI,18350,279.73,302.30454545454546,196.73,11,1
2016,HI,60612,286.06,292.253,236.24,10,1
2016,IA,18973,276.225,291.3655,182.4,44,7
2016,IA,27651,412.09,424.47249999999997,279.46,16,2
2016,IA,51902,322.64,319.42528571428574,239.81,10,7
2016,IA,93078,429.345,406.533,232.47,10,7
2016,IL,16724,316.265,317.421,229.49,10,6
2016,IL,20129,342.29999999999995,350.65508771929825,224.42,22,13
2016,IL,27833,208.29000000000002,208.56125,163.62,8,1
2016,IL,35670,276.25,288.1153333333333,198.6,12,2
2016,IL,36096,300.075,308.36460227272727,214.5,176,13
2016,IL,58288,291.62,289.69899999999996,184.95,10,6
2016,IL,78463,286.99,296.076,242.42,5,1
2016,IL,96601,364.47,375.008,203.53,20,11
2016,IL,99129,255.82,279.5441666666667,220.77,4,3
2016,IN,17575,308.46,325.25079584775085,192.03,17,17
2016,IN,33380,301.62,298.1582424242424,179.1,11,15
2016,IN,36373,385.47,382.39797385620915,249.03,9,17
2016,IN,50816,386.21,399.7057777777778,205.83,9,10
2016,IN,54192,281.41499999999996,290.90715686274507,199.53,12,17
2016,IN,62033,285.27,293.93732026143795,215.21,9,17
2016,IN,67920,352.7,366.76714285714286,298.14,7,3
2016,IN,76179,302.87,299.88427083333335,168.11,16,12
2016,KS,18558,326.15,340.0658163265306,253.78,14,7
2016,KS,27811,239.85,242.86714285714288,203.79,5,7
2016,KS,50274,319.61,315.52303571428575,228.05,8,7
2016,KS,94248,310.3,321.58799999999997,219.0,15,1
2016,LA,19636,363.26,350.42333333333335,225.69,14,8
2016,LA,38499,351.37,348.7633333333333,245.66,6,8
2016,LA,44965,298.57,316.59066666666666,184.03,15,3
2016,LA,67243,375.33,370.21602853,271.6872672,10,8
2016,LA,97176,438.26,431.37910714285715,322.52,14,8
2016,ME,48396,325.43,351.1316,203.42,45,4
2016,ME,96667,344.6,362.40749999999997,245.45,8,4
2016,MI,15560,385.885,386.4363333333333,191.43,18,16
2016,MI,29241,351.875,354.5650833333333,242.36,8,15
2016,MI,29698,280.56,286.3024197530864,168.12,38,15
2016,MI,34620,240.54000000000002,244.10250000000002,198.28,4,2
2016,MI,37651,258.2,255.23174242424244,168.84,22,6
2016,MI,40047,229.42,236.9766666666667,185.78,3,2
2016,MI,46275,234.6,232.562,130.19,10,5
2016,MI,58594,235.76,256.2638095238095,176.93,14,6
2016,MI,60829,347.56,340.4921428571429,193.3,14,5
2016,MI,67183,270.6,270.6,249.98,2,3
2016,MI,67577,312.29499999999996,314.45708333333334,187.73,8,9
2016,MI,71667,299.03,300.61424999999997,220.39,10,4
2016,MI,74917,297.875,312.4053333333333,195.03,5,12
2016,MI,98185,301.86,307.20520231213874,179.43,26,16
2016,MO,16049,365.16499999999996,364.46912499999996,265.92,8,10
