puf_publication_year,claims_year,claims_year_verified,state,issuer_id,issuer_name,claims_received_total_reported,claims_denied_total_reported,internal_appeals_filed,internal_appeals_overturned,external_appeals_filed,external_appeals_overturned,claims_received_in_network,claims_received_out_of_network,claims_denied_in_network,claims_denied_out_of_network,claims_received_total,claims_denied_total,denial_rate_total,denial_rate_in_network,internal_appeal_rate,internal_reversal_rate,external_reversal_rate,claims_resubmitted_in_network,claims_resubmitted_out_of_network,plan_count,product_count,network_count,service_area_count,new_plan_count,market_merge,median_age40_premium,mean_age40_premium,minimum_age40_premium,rated_plans,rating_areas,premium_merge
2017,2015,True,DE,76168,Highmark BCBSD Inc.,1079088.0,200823.0,30.0,10.0,,,,,,,1079088.0,200823.0,0.1861043770294915,,0.0001493852795745,0.3333333333333333,,,,15.0,5.0,2.0,2.0,2.0,both,357.8,332.5573333333333,218.67,15.0,1.0,both
2017,2015,True,FL,16842,Blue Cross and Blue Shield of Florida,10297439.0,757920.0,1382.0,224.0,83.0,33.0,,,,,10297439.0,757920.0,0.0736027666684891,,0.0018234114418408,0.1620839363241678,0.3975903614457831,,,18.0,2.0,2.0,2.0,2.0,both,390.9,398.044051627385,230.92,18.0,67.0,both
2017,2015,True,FL,21663,Celtic Insurance Company,,,,,,,,,,,,,,,,,,,,,,,,,left_only,,,,,,left_only
2017,2015,True,FL,30252,"Health Options, Inc.",2750133.0,234838.0,250.0,100.0,38.0,11.0,,,,,2750133.0,234838.0,0.0853915065198664,,0.0010645636566484,0.4,0.2894736842105263,,,8.0,1.0,1.0,1.0,1.0,both,381.565,382.31208333333336,250.67,8.0,45.0,both
2017,2015,True,FL,35783,"Humana Medical Plan, Inc.",2385243.0,613317.0,1153.0,635.0,246.0,44.0,,,,,2385243.0,613317.0,0.2571297767145737,,0.0018799413680038,0.5507372072853426,0.1788617886178861,,,35.0,2.0,4.0,6.0,0.0,both,274.59,279.2288311688312,165.03,35.0,13.0,both
2017,2015,True,FL,54172,"Molina Healthcare of Florida, Inc",805433.0,177575.0,376.0,134.0,,,,,,,805433.0,177575.0,0.2204714731082535,,0.0021174151766859,0.3563829787234042,,,,3.0,1.0,1.0,1.0,0.0,both,287.31,284.04,233.43,3.0,3.0,both
2017,2015,True,FL,56503,"Florida Health Care Plan, Inc.",127405.0,5408.0,35.0,16.0,,,,,,,127405.0,5408.0,0.0424473136847062,,0.0064718934911242,0.4571428571428571,,,,40.0,20.0,1.0,1.0,20.0,both,360.65,370.029,247.29,40.0,4.0,both
2017,2015,True,GA,49046,"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",2653593.0,625768.0,241.0,121.0,,,,,,,2653593.0,625768.0,0.235819132775825,,0.0003851267562419,0.5020746887966805,,,,13.0,2.0,2.0,2.0,0.0,both,287.39,292.27384615384614,165.5,13.0,16.0,both
2017,2015,True,GA,70893,Ambetter of Peach State Inc.,,,,,,,,,,,,,,,,,,,,,,,,,left_only,,,,,,left_only
2017,2015,True,GA,83761,Alliant Health Plans,306637.0,86064.0,,,25.0,,,,,,306637.0,86064.0,0.2806706300935634,,,,,,,20.0,1.0,1.0,1.0,0.0,both,313.23,312.8369285714286,240.74,20.0,7.0,both
2017,2015,True,GA,89942,Kaiser Foundation Health Plan of Georgia,69967.0,6825.0,108.0,44.0,,,,,,,69967.0,6825.0,0.0975459859648119,,0.0158241758241758,0.4074074074074074,,,,10.0,1.0,1.0,1.0,1.0,both,328.5,304.7,189.0,10.0,6.0,both
2017,2015,True,GA,93332,"Humana Employers Health Plan of Georgia, Inc.",595781.0,163123.0,1933.0,978.0,619.0,122.0,,,,,595781.0,163123.0,0.2737969153094845,,0.0118499537159076,0.5059493016037248,0.197092084006462,,,27.0,2.0,5.0,5.0,10.0,both,273.03,289.61861702127663,169.68,27.0,12.0,both
2017,2015,True,HI,18350,Hawaii Medical Service Association,,,,,,,,,,,,,,,,,,,,,,,,,left_only,,,,,,left_only
2017,2015,True,HI,60612,"Kaiser Foundation Health Plan, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,left_only,,,,,,left_only
2017,2015,True,IA,18973,Aetna Health of Iowa Inc.,953382.0,150126.0,247.0,113.0,,,,,,,953382.0,150126.0,0.1574667866605411,,0.0016452846275795,0.4574898785425101,,,,56.0,8.0,12.0,12.0,35.0,both,246.29,250.02044642857143,152.8,56.0,7.0,both
2017,2015,True,IA,27651,"Gundersen Health Plan, Inc.",883.0,2022.0,,,,,,,,,883.0,2022.0,2.289920724801812,,,,,,,16.0,2.0,1.0,1.0,0.0,both,375.94,389.129375,255.13,16.0,2.0,both
2017,2015,True,IA,93078,Medica Insurance Company,,,,,,,,,,,,,,,,,,,,,,,,,left_only,,,,,,left_only
2017,2015,True,IL,20129,"Health Alliance Medical Plans, Inc.",551708.0,3996.0,,,,,,,,,551708.0,3996.0,0.0072429618566343,,,,,,,19.0,5.0,1.0,1.0,19.0,both,295.15,299.2189473684211,203.55,19.0,9.0,both
2017,2015,True,IL,27833,Celtic Insurance Company,,,,,,,,,,,,,,,,,,,,,,,,,left_only,,,,,,left_only
2017,2015,True,IL,36096,Blue Cross Blue Shield of Illinois,5282618.0,749185.0,945.0,103.0,17.0,,,,,,5282618.0,749185.0,0.1418207790152534,,0.0012613706894825,0.1089947089947089,,,,65.0,4.0,4.0,13.0,5.0,both,279.18,288.12832535885167,153.73,65.0,13.0,both
2017,2015,True,IL,58288,"Humana Health Plan, Inc.",2517.0,791.0,11.0,,,,,,,,2517.0,791.0,0.3142630115216527,,0.0139064475347661,,,,,18.0,1.0,3.0,3.0,0.0,both,288.475,307.8186666666667,197.16,18.0,5.0,both
2017,2015,True,IN,17575,Anthem Ins Companies Inc(Anthem BCBS),3951756.0,858990.0,547.0,82.0,,,,,,,3951756.0,858990.0,0.2173691897981555,,0.0006367943747889,0.149908592321755,,,,12.0,3.0,2.0,2.0,0.0,both,289.44,303.744068627451,168.45,12.0,17.0,both
2017,2015,True,IN,54192,"CareSource Indiana, Inc.",203819.0,65469.0,730.0,529.0,,,,,,,203819.0,65469.0,0.3212114670369298,,0.0111503154164566,0.7246575342465753,,,,12.0,2.0,2.0,2.0,12.0,both,317.44,331.56439393939394,171.1,12.0,11.0,both
2017,2015,True,IN,62033,"MDwise Marketplace, Inc.",6788530.0,1659811.0,1774.0,158.0,,,,,,,6788530.0,1659811.0,0.2445022707419721,,0.0010687963870585,0.089064261555806,,,,5.0,1.0,1.0,1.0,5.0,both,347.295,356.92775,251.96,5.0,16.0,both
2017,2015,True,IN,76179,Celtic Insurance Company,,,,,,,,,,,,,,,,,,,,,,,,,left_only,,,,,,left_only
2017,2015,True,KS,27811,"BlueCross BlueShield Kansas Solutions, Inc.",330632.0,12624.0,38.0,,,,,,,,330632.0,12624.0,0.0381814222458806,,0.0030101394169835,,,,,3.0,1.0,1.0,1.0,3.0,both,200.68,209.49571428571429,172.65,3.0,7.0,both
2017,2015,True,LA,19636,"HMO Louisiana, Inc.",1078158.0,421585.0,260.0,132.0,,,,,,,1078158.0,421585.0,0.3910233936027929,,0.0006167202343536,0.5076923076923077,,,,19.0,3.0,3.0,3.0,2.0,both,364.375,349.0781666666666,193.4,19.0,5.0,both
2017,2015,True,LA,44965,"Humana Health Benefit Plan of Louisiana, Inc.",127753.0,32445.0,41.0,14.0,15.0,,,,,,127753.0,32445.0,0.2539666387482094,,0.0012636769918323,0.3414634146341463,,,,12.0,2.0,2.0,2.0,0.0,both,320.87,311.935,196.35,12.0,1.0,both
2017,2015,True,LA,67243,"Vantage Health Plan, Inc.",119887.0,13194.0,275.0,188.0,,,,,,,119887.0,13194.0,0.1100536338385312,,0.0208428073366681,0.6836363636363636,,,,8.0,1.0,2.0,2.0,0.0,both,388.585,377.1975,258.54,8.0,8.0,both
2017,2015,True,LA,97176,Louisiana Health Service & Indemnity Company,1793411.0,678588.0,288.0,123.0,,,,,,,1793411.0,678588.0,0.3783784085187389,,0.0004244106880758,0.4270833333333333,,,,19.0,3.0,2.0,2.0,0.0,both,391.32,387.3199342105263,264.34,19.0,8.0,both
2017,2015,True,ME,33653,Maine Community Health Options,3181929.0,230666.0,501.0,261.0,,,,,,,3181929.0,230666.0,0.0724925037610833,,0.0021719715952936,0.5209580838323353,,,,10.0,10.0,1.0,1.0,3.0,both,323.02,322.8065,198.74,10.0,4.0,both
2017,2015,True,ME,48396,Anthem Health Plans of ME(Anthem BCBS),453635.0,86780.0,187.0,106.0,,,,,,,453635.0,86780.0,0.1912991722420007,,0.0021548743950218,0.5668449197860963,,,,39.0,4.0,4.0,6.0,0.0,both,342.87,344.96169230769226,173.12,39.0,4.0,both
2017,2015,True,ME,96667,Harvard Pilgrim  Health Care Inc.,24457.0,6162.0,,,,,,,,,24457.0,6162.0,0.2519524062640553,,,,,,,4.0,4.0,1.0,1.0,4.0,both,405.53,422.7275,280.18,4.0,4.0,both
2017,2015,True,MI,15560,Blue Cross Blue Shield of Michigan Mutual Insurance Company,5121434.0,841891.0,830.0,474.0,33.0,,,,,,5121434.0,841891.0,0.1643857950722395,,0.000985875843785,0.5710843373493976,,,,17.0,7.0,2.0,2.0,11.0,both,355.0,355.3340566037736,173.73,17.0,16.0,both
2017,2015,True,MI,29698,Priority Health,1390611.0,288601.0,179.0,16.0,,,,,,,1390611.0,288601.0,0.2075353927158637,,0.0006202334711244,0.0893854748603352,,,,33.0,2.0,1.0,3.0,23.0,both,290.39,292.4765797101449,197.26,33.0,15.0,both
2017,2015,True,MI,37651,Health Alliance Plan (HAP),194495.0,40596.0,51.0,14.0,,,,,,,194495.0,40596.0,0.2087251600298208,,0.0012562814070351,0.2745098039215686,,,,24.0,3.0,3.0,3.0,21.0,both,288.365,285.0638333333334,165.35,24.0,5.0,both
2017,2015,True,MI,40047,"Molina Healthcare of Michigan, Inc.",7247.0,1057.0,,,,,,,,,7247.0,1057.0,0.1458534566027321,,,,,,,3.0,1.0,1.0,1.0,0.0,both,251.6,258.1666666666667,202.86,3.0,2.0,both
2017,2015,True,MI,46275,"Humana Medical Plan of Michigan, Inc.",246738.0,73432.0,194.0,90.0,19.0,,,,,,246738.0,73432.0,0.2976112313466105,,0.0026418999891055,0.4639175257731959,,,,10.0,1.0,2.0,2.0,0.0,both,220.52,225.5193333333333,153.78,10.0,3.0,both
2017,2015,True,MI,58594,"Meridian Health Plan of Michigan, Inc.",6045.0,3599.0,,,,,,,,,6045.0,3599.0,0.5953680727874276,,,,,,,4.0,1.0,1.0,1.0,0.0,both,287.08,307.67,242.21,4.0,2.0,both
2017,2015,True,MI,60829,Physicians Health Plan,62923.0,6054.0,,,,,,,,,62923.0,6054.0,0.0962128315560287,,,,,,,9.0,3.0,2.0,2.0,9.0,both,324.47,331.05081081081084,204.8,9.0,5.0,both
2017,2015,True,MI,67183,"Total Health Care USA, Inc.",61556.0,12948.0,59.0,,,,,,,,61556.0,12948.0,0.2103450516602768,,0.004556688291628,,,,,2.0,1.0,1.0,1.0,0.0,both,257.795,257.795,243.09,2.0,3.0,both
2017,2015,True,MI,74917,McLaren Health Plan Community,,,,,,,,,,,,,,,,,,,,,,,,,left_only,,,,,,left_only
2017,2015,True,MI,98185,Blue Care Network of Michigan,3485406.0,772460.0,425.0,278.0,11.0,,,,,,3485406.0,772460.0,0.2216269783204596,,0.0005501903011159,0.6541176470588236,,,,24.0,3.0,4.0,5.0,14.0,both,276.255,281.9736363636364,167.07,24.0,16.0,both
2017,2015,True,MO,30613,Humana Insurance Company,73679.0,18826.0,70.0,46.0,,,,,,,73679.0,18826.0,0.2555137827603523,,0.0037182619781153,0.6571428571428571,,,,15.0,1.0,2.0,3.0,15.0,both,275.04,275.5206666666666,174.64,15.0,3.0,both
2017,2015,True,MO,32753,Healthy Alliance Life Co(Anthem BCBS),1796648.0,415409.0,144.0,50.0,,,,,,,1796648.0,415409.0,0.2312133484132673,,0.0003466463172439,0.3472222222222222,,,,13.0,2.0,2.0,2.0,0.0,both,314.15,325.81780219780217,231.93,13.0,7.0,both
2017,2015,True,MO,34762,Blue Cross and Blue Shield of Kansas City,1432795.0,91982.0,78.0,21.0,,,,,,,1432795.0,91982.0,0.0641975997962025,,0.0008479919984344,0.2692307692307692,,,,18.0,7.0,4.0,2.0,9.0,both,310.82,317.5138235294117,197.79,18.0,3.0,both
2017,2015,True,MO,74483,Cigna Health and Life Insurance Company,204026.0,31306.0,23.0,,,,,,,,204026.0,31306.0,0.1534412280787742,,0.0007346834472625,,,,,8.0,1.0,1.0,1.0,8.0,both,305.605,305.935,249.19,8.0,1.0,both
2017,2015,True,MS,48963,Humana Insurance Company,356215.0,94935.0,161.0,117.0,21.0,,,,,,356215.0,94935.0,0.2665103940036214,,0.0016958971928161,0.7267080745341615,,,,21.0,2.0,4.0,5.0,6.0,both,320.74,333.608,187.8,21.0,5.0,both
2017,2015,True,MS,90714,Ambetter of Magnolia Inc.,,,,,,,,,,,,,,,,,,,,,,,,,left_only,,,,,,left_only
2017,2015,True,MT,23603,PacificSource Health Plans,245805.0,20728.0,150.0,35.0,,,,,,,245805.0,20728.0,0.0843270071804885,,0.007236588189888,0.2333333333333333,,,,13.0,3.0,2.0,1.0,4.0,both,240.5,249.59615384615384,192.0,13.0,4.0,both
2017,2015,True,MT,30751,Blue Cross and Blue Shield of Montana,644586.0,75944.0,22.0,,,,,,,,644586.0,75944.0,0.1178182585411411,,0.000289687137891,,,,,12.0,2.0,2.0,2.0,0.0,both,277.015,280.325,172.52,12.0,4.0,both
2017,2015,True,MT,32225,Montana Health Cooperative,598861.0,166736.0,250.0,133.0,,,,,,,598861.0,166736.0,0.2784218708514998,,0.001499376259476,0.532,,,,12.0,3.0,2.0,2.0,4.0,both,238.15,253.51958333333332,182.94,12.0,4.0,both
2017,2015,True,NC,11512,Blue Cross and Blue Shield of NC,15422421.0,1683904.0,1275.0,406.0,52.0,22.0,,,,,15422421.0,1683904.0,0.1091854514929919,,0.0007571690547679,0.3184313725490196,0.4230769230769231,,,50.0,5.0,4.0,7.0,10.0,both,367.44,368.8777906976744,189.44,50.0,16.0,both
2017,2015,True,ND,37160,Blue Cross Blue Shield of North Dakota,431271.0,49642.0,47.0,26.0,,,,,,,431271.0,49642.0,0.1151062788826515,,0.0009467789371902,0.5531914893617021,,,,17.0,1.0,1.0,1.0,2.0,both,335.04,321.1276470588235,164.79,17.0,4.0,both
2017,2015,True,ND,73751,Medica Health Plans,80155.0,14905.0,,,,,,,,,80155.0,14905.0,0.1859522175784417,,,,,,,8.0,1.0,1.0,1.0,1.0,both,305.58,288.5053125,167.44,8.0,4.0,both
2017,2015,True,ND,89364,Sanford Health Plan,28846.0,1688.0,,,12.0,,,,,,28846.0,1688.0,0.0585176454274422,,,,,,,9.0,1.0,2.0,2.0,5.0,both,290.29,285.34,216.23,9.0,4.0,both
2017,2015,True,NE,20305,Medica Insurance Company,,,,,,,,,,,,,,,,,,,,,,,,,left_only,,,,,,left_only
2017,2015,True,NH,59025,Harvard Pilgrim Health Care of NE,252858.0,68285.0,53.0,37.0,,,,,,,252858.0,68285.0,0.27005275688331,,0.0007761587464304,0.6981132075471698,,,,8.0,4.0,2.0,2.0,8.0,both,323.76,325.30875000000003,237.73,8.0,1.0,both
2017,2015,True,NH,61163,"Minuteman Health, Inc",176997.0,27388.0,147.0,90.0,,,,,,,176997.0,27388.0,0.1547370859393097,,0.0053673141521834,0.6122448979591837,,,,8.0,8.0,1.0,1.0,8.0,both,201.395,221.17125,188.35,8.0,1.0,both
2017,2015,True,NH,75841,Celtic Insurance Company,,,,,,,,,,,,,,,,,,,,,,,,,left_only,,,,,,left_only
2017,2015,True,NH,96751,Matthew Thornton Hlth Plan(Anthem BCBS),1057992.0,206656.0,538.0,269.0,,,,,,,1057992.0,206656.0,0.1953285091002578,,0.0026033601734283,0.5,,,,10.0,2.0,2.0,2.0,0.0,both,257.295,266.016,165.0,10.0,1.0,both
2017,2015,True,NJ,77606,"AmeriHealth HMO, Inc.",892084.0,524820.0,59.0,18.0,,,,,,,892084.0,524820.0,0.5883078275140009,,0.0001124194962082,0.3050847457627119,,,,2.0,1.0,1.0,1.0,0.0,both,383.935,383.935,356.55,2.0,1.0,both
2017,2015,True,NJ,91661,"Horizon Healthcare Services, Inc.",4372828.0,1413523.0,1131.0,336.0,116.0,53.0,,,,,4372828.0,1413523.0,0.3232514519208164,,0.0008001284733251,0.2970822281167108,0.4568965517241379,,,9.0,3.0,3.0,1.0,4.0,both,356.92,360.94666666666666,229.4,9.0,1.0,both
2017,2015,True,NJ,91762,AmeriHealth Ins Company of New Jersey,2504870.0,1461386.0,238.0,59.0,,,,,,,2504870.0,1461386.0,0.5834179019270461,,0.0001628590940381,0.2478991596638655,,,,16.0,2.0,3.0,4.0,3.0,both,381.315,405.4775,292.14,16.0,1.0,both
2017,2015,True,NM,19722,"Molina Health Care of New Mexico, Inc.",34739.0,4665.0,19.0,,,,,,,,34739.0,4665.0,0.1342871124672558,,0.0040728831725616,,,,,3.0,1.0,1.0,1.0,0.0,both,219.84,226.5133333333333,157.55,3.0,5.0,both
2017,2015,True,NM,72034,CHRISTUS Health Plan,5015.0,1222.0,,,,,,,,,5015.0,1222.0,0.2436689930209372,,,,,,,11.0,11.0,1.0,2.0,11.0,both,261.125,257.5591176470588,159.67,11.0,5.0,both
2017,2015,True,NM,75605,Blue Cross Blue Shield of New Mexico,464924.0,67162.0,56.0,14.0,,,,,,,464924.0,67162.0,0.1444580189450318,,0.0008338048301122,0.25,,,,49.0,4.0,4.0,8.0,1.0,both,253.39,255.60546391752575,142.8,49.0,5.0,both
2017,2015,True,NM,93091,New Mexico Health Connections,124092.0,22022.0,166.0,130.0,,,,,,,124092.0,22022.0,0.1774651065338619,,0.0075379166288257,0.7831325301204819,,,,12.0,4.0,2.0,2.0,7.0,both,227.17,229.0643333333333,130.67,12.0,5.0,both
2017,2015,True,NV,16698,Prominence HealthFirst,,2498.0,117.0,54.0,,,,,,,,2498.0,,,0.0468374699759807,0.4615384615384615,,,,12.0,1.0,2.0,1.0,4.0,both,342.545,362.7095833333333,284.37,12.0,2.0,both
2017,2015,True,NV,33670,"Rocky Mountain Hospital and Medical Service, Inc., dba Anthem Blue Cross and Blue Shield",2498.0,741.0,,,,,,,,,2498.0,741.0,0.2966373098478783,,,,,,,,,,,,left_only,,,,,,left_only
2017,2015,True,NV,60156,"HMO Colorado, Inc., dba HMO Nevada",345050.0,79572.0,21.0,17.0,,,,,,,345050.0,79572.0,0.2306100565135487,,0.0002639119288191,0.8095238095238095,,,,12.0,2.0,2.0,2.0,0.0,both,309.63,318.4604166666667,176.34,12.0,4.0,both
2017,2015,True,NV,95865,"Health Plan of Nevada, Inc.",556498.0,2688.0,233.0,146.0,,,,,,,556498.0,2688.0,0.0048302060384763,,0.0866815476190476,0.6266094420600858,,,,15.0,1.0,1.0,1.0,2.0,both,293.07500000000005,294.3073333333333,217.24,15.0,2.0,both
2017,2015,True,OH,23340,Consumers Life Insurance Company,,,,,,,,,,,,,,,,,,,,,,,,,left_only,,,,,,left_only
2017,2015,True,OH,26734,"Premier Health Plan, Inc.",61260.0,11150.0,32.0,13.0,,,,,,,61260.0,11150.0,0.1820111002285341,,0.0028699551569506,0.40625,,,,5.0,1.0,1.0,1.0,5.0,both,262.075,265.695,217.67,5.0,2.0,both
2017,2015,True,OH,28162,AultCare Insurance Company,141258.0,681.0,17.0,11.0,,,,,,,141258.0,681.0,0.0048209658921972,,0.0249632892804698,0.6470588235294118,,,,52.0,1.0,2.0,1.0,0.0,both,310.97,315.16769230769233,169.34,52.0,2.0,both
2017,2015,True,OH,29276,Community Insurance Company(Anthem BCBS),1251476.0,289523.0,145.0,22.0,,,,,,,1251476.0,289523.0,0.2313452275553027,,0.0005008237687506,0.1517241379310344,,,,14.0,1.0,1.0,1.0,0.0,both,330.225,326.07016806722686,182.5,14.0,17.0,both
2017,2015,True,OH,41047,Buckeye Community Health Plan,95857.0,16238.0,21.0,12.0,,,,,,,95857.0,16238.0,0.1693981660181311,,0.0012932627170833,0.5714285714285714,,,,30.0,3.0,1.0,1.0,12.0,both,257.20000000000005,263.06576190476187,191.08,30.0,7.0,both
2017,2015,True,OH,52664,"Summa Insurance Company, Inc.",85930.0,24063.0,85.0,52.0,4.0,0.0,,,,,85930.0,24063.0,0.2800302571860817,,0.0035323941320699,0.611764705882353,0.0,,,10.0,2.0,2.0,2.0,10.0,both,330.43,315.4305714285714,188.71,10.0,5.0,both
2017,2015,True,OH,64353,MOLINA HEALTHCARE OF OHIO,17637.0,3966.0,14.0,,,,,,,,17637.0,3966.0,0.22486817485967,,0.0035300050428643,,,,,3.0,1.0,1.0,2.0,0.0,both,299.26,310.2365217391304,233.45,3.0,8.0,both
2017,2015,True,OH,66083,"Humana Health Plan of Ohio, Inc.",133600.0,33372.0,75.0,44.0,10.0,,,,,,133600.0,33372.0,0.2497904191616766,,0.002247393024092,0.5866666666666667,,,,14.0,1.0,2.0,2.0,0.0,both,263.255,258.7528571428571,168.76,14.0,2.0,both
2017,2015,True,OH,74313,Paramount Insurance Company,111754.0,18885.0,15.0,,,,,,,,111754.0,18885.0,0.1689872398303416,,0.0007942811755361,,,,,8.0,1.0,1.0,1.0,5.0,both,288.855,280.77109375,156.91,8.0,8.0,both
2017,2015,True,OH,77552,CareSource,586705.0,161040.0,1264.0,914.0,,,,,,,586705.0,161040.0,0.2744820650923377,,0.0078489816194734,0.7231012658227848,,,,36.0,2.0,4.0,6.0,0.0,both,266.51,274.3375641025641,186.09,36.0,12.0,both
2017,2015,True,OH,99969,Medical Health Insuring Corp. of Ohio,1353047.0,262411.0,404.0,206.0,13.0,,,,,,1353047.0,262411.0,0.1939407869793141,,0.001539569606457,0.5099009900990099,,,,15.0,1.0,1.0,1.0,6.0,both,319.43,323.0449411764706,157.36,15.0,17.0,both
2017,2015,True,OK,87571,Blue Cross Blue Shield of Oklahoma,3105473.0,465603.0,677.0,64.0,10.0,,,,,,3105473.0,465603.0,0.1499298174545391,,0.0014540284319473,0.0945347119645494,,,,71.0,4.0,4.0,11.0,5.0,both,253.63,254.860756302521,142.52,71.0,5.0,both
2017,2015,True,OR,10091,PacificSource Health Plans,93564.0,7719.0,74.0,23.0,,,,,,,93564.0,7719.0,0.0824996793638579,,0.0095867340329058,0.3108108108108108,,,,33.0,4.0,3.0,3.0,15.0,both,263.0,264.17610062893084,189.0,33.0,7.0,both
2017,2015,True,OR,32536,ATRIO Health Plans,10915.0,2017.0,17.0,,,,,,,,10915.0,2017.0,0.1847915712322492,,0.008428358948934,,,,,6.0,1.0,1.0,1.0,0.0,both,239.37,241.3383333333333,191.96,6.0,3.0,both
2017,2015,True,OR,39424,"Moda Health Plan, Inc.",965575.0,90404.0,250.0,55.0,23.0,,,,,,965575.0,90404.0,0.0936271133780389,,0.0027653643644086,0.22,,,,15.0,9.0,3.0,4.0,15.0,both,235.0,234.8,167.0,15.0,7.0,both
2017,2015,True,OR,56707,Providence Health Plan,129564.0,9556.0,49.0,16.0,,,,,,,129564.0,9556.0,0.073755055416628,,0.0051276684805357,0.3265306122448979,,,,6.0,6.0,3.0,3.0,6.0,both,238.0,241.95238095238096,189.0,6.0,7.0,both
2017,2015,True,OR,63474,BridgeSpan Health Company,7177.0,1201.0,178.0,135.0,,,,,,,7177.0,1201.0,0.1673401142538665,,0.1482098251457119,0.7584269662921348,,,,24.0,23.0,5.0,3.0,20.0,both,266.645,276.77958333333333,195.15,24.0,7.0,both
2017,2015,True,OR,71287,Kaiser Foundation Healthplan of the NW,8819.0,2666.0,52.0,23.0,,,,,,,8819.0,2666.0,0.3023018482821181,,0.0195048762190547,0.4423076923076923,,,,10.0,1.0,1.0,1.0,2.0,both,245.5,240.7,165.0,10.0,5.0,both
2017,2015,True,PA,16322,"UPMC Health Options, Inc.",1364008.0,57049.0,655.0,241.0,26.0,,,,,,1364008.0,57049.0,0.0418245347534618,,0.0114813581307297,0.3679389312977099,,,,37.0,2.0,4.0,4.0,37.0,both,202.27,222.09205405405405,151.75,37.0,5.0,both
2017,2015,True,PA,22444,Geisinger Health Plan,546673.0,188587.0,10.0,,,,,,,,546673.0,188587.0,0.3449722228827837,,5.3025924374426654e-05,,,,,15.0,2.0,1.0,3.0,7.0,both,290.61,288.4733333333333,174.84,15.0,6.0,both
