market_year,state,issuer_count,plan_count,product_count
2018,VA,7,54,7
2018,WI,11,271,18
2018,WV,2,21,6
2018,WY,1,10,1
2019,AK,1,5,2
2019,AL,2,13,8
2019,AR,4,25,6
2019,AZ,5,102,12
2019,DE,1,8,3
2019,FL,7,148,53
2019,GA,4,232,6
2019,HI,2,23,3
2019,IA,3,31,6
2019,IL,5,151,10
2019,IN,2,22,5
2019,KS,3,23,5
2019,KY,2,25,3
2019,LA,3,46,7
2019,ME,3,49,9
2019,MI,9,84,23
2019,MO,4,48,5
2019,MS,1,5,2
2019,MT,3,52,5
2019,NC,3,77,6
2019,ND,3,35,5
2019,NE,1,17,3
2019,NH,3,17,3
2019,NJ,4,24,11
2019,NM,4,54,12
2019,NV,2,14,2
2019,OH,10,178,27
2019,OK,2,52,4
2019,OR,5,51,17
2019,PA,11,204,29
2019,SC,2,33,3
2019,SD,2,26,4
2019,TN,5,77,12
2019,TX,8,320,23
2019,UT,3,40,6
2019,VA,8,75,9
2019,WI,12,245,19
2019,WV,2,18,5
2019,WY,1,10,1
2020,AK,2,9,3
2020,AL,2,15,8
2020,AR,4,27,5
2020,AZ,5,140,6
2020,DE,1,9,3
2020,FL,9,248,49
2020,GA,6,249,8
2020,HI,2,23,3
2020,IA,3,35,6
2020,IL,5,142,10
2020,IN,2,31,4
2020,KS,5,83,8
2020,KY,2,25,3
2020,LA,4,50,13
2020,ME,3,56,9
2020,MI,9,109,18
2020,MO,7,88,8
2020,MS,2,24,5
2020,MT,3,54,5
2020,NC,4,96,8
2020,ND,3,35,5
2020,NE,2,37,4
2020,NH,3,26,3
2020,NJ,4,25,6
2020,NM,4,55,6
2020,OH,10,214,14
2020,OK,3,64,5
2020,OR,5,66,17
2020,PA,12,263,42
2020,SC,4,58,8
2020,SD,2,26,4
2020,TN,5,131,5
2020,TX,8,405,19
2020,UT,5,62,10
2020,VA,9,69,9
2020,WI,13,244,23
2020,WV,2,19,5
2020,WY,1,10,1
2021,AK,2,9,3
2021,AL,2,15,8
2021,AR,5,35,6
2021,AZ,6,188,7
2021,DE,1,12,4
2021,FL,10,328,56
2021,GA,6,194,8
2021,HI,2,23,3
2021,IA,3,54,7
2021,IL,8,178,13
2021,IN,3,39,6
2021,KS,6,100,9
2021,KY,2,37,3
2021,LA,4,59,16
2021,ME,3,56,9
2021,MI,9,127,19
2021,MO,8,137,11
2021,MS,2,33,5
2021,MT,3,54,5
2021,NC,6,193,12
2021,ND,3,38,6
2021,NE,2,45,4
2021,NH,3,35,4
2021,NM,5,66,7
2021,OH,10,237,14
2021,OK,6,97,9
2021,OR,6,90,19
2021,SC,4,68,10
2021,SD,2,27,4
2021,TN,6,173,7
2021,TX,10,432,24
2021,UT,6,69,11
2021,VA,9,81,9
2021,WI,14,263,26
2021,WV,2,21,6
2021,WY,2,16,2
2022,AK,2,11,4
2022,AL,3,30,10
2022,AR,6,67,7
2022,AZ,8,230,10
2022,DE,1,13,6
2022,FL,14,532,65
2022,GA,11,270,16
2022,HI,2,18,2
2022,IA,3,73,7
2022,IL,11,274,18
2022,IN,4,56,7
2022,KS,7,123,10
2022,LA,6,99,21
2022,MI,10,173,21
2022,MO,9,193,12
2022,MS,4,51,8
2022,MT,3,56,5
2022,NC,10,345,16
2022,ND,3,38,6
2022,NE,4,110,7
2022,NH,3,44,4
2022,OH,10,313,15
2022,OK,8,172,12
2022,OR,6,82,20
2022,SC,4,105,11
2022,SD,2,33,4
2022,TN,6,239,7
2022,TX,16,731,38
2022,UT,7,100,16
2022,VA,12,156,12
2022,WI,14,372,29
2022,WV,2,22,8
2022,WY,2,21,3
2023,AK,2,16,8
2023,AL,3,44,15
2023,AR,5,51,6
2023,AZ,8,259,12
2023,DE,3,30,10
2023,FL,15,504,72
2023,GA,10,308,18
2023,HI,2,22,2
2023,IA,3,72,7
2023,IL,11,392,18
2023,IN,5,88,9
2023,KS,8,128,12
2023,LA,6,127,24
2023,MI,10,231,19
2023,MO,10,205,14
2023,MS,5,72,8
2023,MT,3,97,6
2023,NC,10,338,18
2023,ND,3,62,8
2023,NE,4,164,13
2023,NH,3,55,5
2023,OH,11,335,16
2023,OK,7,195,12
2023,OR,6,77,19
2023,SC,5,93,15
2023,SD,3,64,5
2023,TN,6,288,8
2023,TX,17,965,42
2023,UT,6,99,12
2023,VA,12,145,12
2023,WI,13,537,31
2023,WV,2,26,10
2023,WY,2,25,3
2024,AK,2,16,9
2024,AL,3,44,16
2024,AR,6,52,7
2024,AZ,8,225,13
2024,DE,4,54,12
2024,FL,14,380,62
2024,GA,10,231,18
2024,HI,2,18,2
2024,IA,3,85,7
2024,IL,12,408,19
2024,IN,6,89,9
2024,KS,8,98,12
2024,LA,5,101,20
2024,MI,9,169,19
2024,MO,9,159,13
2024,MS,5,65,9
2024,MT,3,91,6
2024,NC,9,267,17
2024,ND,3,67,8
2024,NE,4,100,12
2024,NH,3,47,4
2024,OH,12,179,16
2024,OK,7,176,11
2024,OR,6,76,18
2024,SC,6,112,17
2024,SD,3,72,5
2024,TN,6,194,10
2024,TX,16,917,38
2024,UT,8,87,13
2024,WI,14,418,33
2024,WV,2,33,10
2024,WY,2,24,3
2025,AK,2,15,9
2025,AL,3,42,16
2025,AR,6,48,7
2025,AZ,8,206,14
2025,DE,4,45,9
2025,FL,15,364,60
2025,HI,2,17,2
2025,IA,5,104,11
2025,IL,11,347,19
2025,IN,6,91,10
2025,KS,7,81,10
2025,LA,5,118,26
2025,MI,10,162,19
2025,MO,9,118,13
2025,MS,5,58,8
2025,MT,3,90,6
2025,NC,9,217,17
2025,ND,3,58,7
2025,NE,5,125,23
2025,NH,4,46,5
2025,OH,13,188,20
2025,OK,7,172,12
2025,OR,6,57,20
2025,SC,6,122,19
2025,SD,3,61,5
2025,TN,6,155,8
2025,TX,17,935,49
2025,UT,7,68,12
2025,WI,14,366,31
2025,WV,2,35,7
2025,WY,3,30,5
2026,AK,2,15,9
2026,AL,4,54,19
2026,AR,6,52,9
2026,AZ,7,199,12
2026,DE,3,40,7
2026,FL,16,410,61
2026,HI,2,17,2
2026,IA,6,121,12
2026,IN,5,80,9
2026,KS,6,64,9
2026,LA,6,100,13
2026,MI,7,116,13
2026,MO,8,117,13
2026,MS,5,48,7
2026,MT,3,90,6
2026,NC,6,206,14
2026,ND,3,59,7
2026,NE,5,164,31
2026,NH,4,46,5
2026,OH,11,189,20
2026,OK,7,186,14
2026,OR,6,59,21
2026,SC,6,125,21
2026,SD,3,67,5
2026,TN,6,158,8
2026,TX,18,834,34
2026,UT,6,57,13
2026,WI,12,311,28
2026,WV,2,37,8
2026,WY,2,23,4
