market_year,state,issuer_id,issuer_name,plan_count,product_count,network_count,service_area_count,new_plan_count
2022,WV,31274,Highmark Blue Cross Blue Shield West Virginia,11,6,1,1,3
2022,WV,50328,CareSource,11,2,1,1,0
2022,WY,11269,Blue Cross Blue Shield of Wyoming,14,2,1,1,2
2022,WY,38576,Mountain Health CO-OP,7,1,1,1,3
2023,AK,38344,Premera Blue Cross Blue Shield of Alaska,9,4,1,1,3
2023,AK,77963,Moda Health,7,4,1,1,3
2023,AL,46944,Blue Cross and Blue Shield of Alabama,12,12,2,2,4
2023,AL,53932,Ambetter of Alabama,18,2,1,1,18
2023,AL,69461,UnitedHealthcare,14,1,1,1,1
2023,AR,13262,Health Advantage,4,1,1,1,2
2023,AR,37903,Ambetter from Arkansas Health & Wellness,5,1,1,1,4
2023,AR,62141,Ambetter from Arkansas Health & Wellness,23,2,1,1,4
2023,AR,70525,Ambetter from Arkansas Health & Wellness,7,1,1,1,5
2023,AR,75293,Arkansas Blue Cross and Blue Shield,12,1,1,1,3
2023,AZ,13877,"Oscar Health Plan, Inc.",21,1,1,1,4
2023,AZ,23435,BannerAetna,9,1,1,1,5
2023,AZ,32311,Medica,10,1,1,1,5
2023,AZ,40702,UnitedHealthcare,20,1,1,1,7
2023,AZ,53901,Blue Cross Blue Shield of Arizona,137,2,4,13,53
2023,AZ,85533,"Imperial Insurance Companies, Inc.",5,2,1,1,5
2023,AZ,91450,Ambetter from Arizona Complete Health ,39,3,2,2,17
2023,AZ,97667,"Cigna HealthCare of Arizona, Inc",18,1,1,1,6
2023,DE,67190,Aetna CVS Health,9,1,1,1,9
2023,DE,72760,AmeriHealth Caritas Next,4,1,1,1,4
2023,DE,76168,Highmark Blue Cross Blue Shield Delaware,17,8,1,1,6
2023,FL,16842,Florida Blue (BlueCross BlueShield FL),34,2,2,2,12
2023,FL,18628,Aetna CVS Health,35,1,5,5,35
2023,FL,19898,AvMed,88,2,2,5,74
2023,FL,21663,Ambetter from Sunshine Health,50,2,1,2,16
2023,FL,30252,Florida Blue HMO (a BlueCross BlueShield FL company),75,3,2,6,31
2023,FL,36194,"Health First Commercial Plans, Inc. ",26,4,2,3,5
2023,FL,40572,Oscar Insurance Company of Florida,52,2,1,2,8
2023,FL,48121,Cigna Healthcare,24,1,1,1,7
2023,FL,54172,Molina Healthcare,9,3,2,2,4
2023,FL,56503,Florida Health Care Plans,45,45,1,1,9
2023,FL,66966,Capital Health Plan,6,1,1,1,4
2023,FL,67926,AmeriHealth Caritas Next,4,1,1,1,4
2023,FL,68398,UnitedHealthcare,20,1,2,1,4
2023,FL,86382,Ambetter from Sunshine Health,22,3,3,3,12
2023,FL,92120,Aetna CVS Health,14,1,2,2,8
2023,GA,15105,"Cigna HealthCare of Georgia, Inc",19,1,1,1,6
2023,GA,43802,UnitedHealthcare,19,1,2,1,6
2023,GA,49046,"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc",64,1,4,8,16
2023,GA,58081,Oscar Health Plan of Georgia,26,1,1,1,4
2023,GA,60224,CareSource,17,2,1,1,6
2023,GA,70893,Ambetter from Peach State Health Plan,57,6,5,4,28
2023,GA,82824,Aetna CVS Health,21,1,3,3,12
2023,GA,83761,Alliant Health Plans,37,2,1,2,7
2023,GA,89942,Kaiser Permanente,26,2,2,2,6
2023,GA,90617,Friday Health Plans,22,1,1,1,13
2023,HI,18350,HMSA,7,1,3,1,0
2023,HI,60612,Kaiser Permanente,15,1,1,1,4
2023,IA,25896,"Wellmark Health Plan of Iowa, Inc.",12,1,2,2,8
2023,IA,45819,Oscar Insurance Company,16,1,1,1,4
2023,IA,93078,Medica,44,5,6,6,22
2023,IL,11574,"Oscar Health Plan, Inc.",29,2,2,2,8
2023,IL,20129,Health Alliance,14,2,1,1,4
2023,IL,27833,Ambetter of Illinois,36,2,1,1,13
2023,IL,32355,Molina Healthcare,6,2,1,1,2
2023,IL,36096,Blue Cross and Blue Shield of Illinois ,209,4,4,23,101
2023,IL,42529,UnitedHealthcare,17,1,2,1,7
2023,IL,53882,Cigna Healthcare,33,1,2,2,10
2023,IL,54322,MercyCare Health Plans,8,1,1,1,4
2023,IL,65280,WellFirst Health,13,1,1,1,4
2023,IL,85773,Quartz,18,1,1,1,14
2023,IL,99129,Aetna CVS Health,9,1,1,1,9
2023,IN,17575,Anthem Blue Cross and Blue Shield,21,2,2,1,11
2023,IN,35755,US Health and Life,9,1,1,1,3
2023,IN,54192,CareSource,13,2,1,1,2
2023,IN,76179,Ambetter from MHS,29,3,2,1,13
2023,IN,94419,Cigna Healthcare,16,1,1,1,16
2023,KS,18558,"Blue Cross and Blue Shield of Kansas, Inc.",10,2,1,1,4
2023,KS,32542,US Health and Life,9,1,1,1,3
2023,KS,34368,Ambetter from Sunflower Health Plan,28,3,2,1,11
2023,KS,39520,Medica,15,2,2,2,8
2023,KS,43490,Oscar Insurance Company,15,1,1,1,4
2023,KS,76763,Cigna Healthcare,25,1,2,2,8
2023,KS,94248,Blue Cross and Blue Shield of Kansas City,12,1,4,1,3
2023,KS,94968,UnitedHealthcare,14,1,1,1,14
2023,LA,19636,HMO Louisiana,36,5,5,8,5
2023,LA,61604,Ambetter from Louisiana Healthcare Connections,24,2,1,1,9
2023,LA,67243,Vantage Health Plan,8,1,1,1,3
2023,LA,69842,UnitedHealthcare,12,1,1,1,4
2023,LA,97176,Blue Cross and Blue Shield of Louisiana,8,2,1,1,3
2023,LA,98780,CHRISTUS Health Plan,39,13,1,3,9
2023,MI,15560,Blue Cross Blue Shield of Michigan Mutual Insurance Company ,9,3,1,2,1
2023,MI,29698,Priority Health,59,1,7,7,54
2023,MI,40047,Molina Healthcare,6,2,1,1,2
2023,MI,58594,Ambetter from Meridian,27,3,2,1,19
2023,MI,58996,US Health and Life,9,1,1,1,3
2023,MI,60829,Physicians Health Plan,39,2,1,3,29
2023,MI,71667,UnitedHealthcare,17,1,2,1,6
2023,MI,74917,McLaren Health Plan Community,13,1,1,2,6
2023,MI,77739,Oscar Insurance Company,18,1,1,1,4
2023,MI,98185,Blue Care Network of Michigan,34,4,5,5,16
2023,MO,32753,Anthem Blue Cross and Blue Shield,15,1,2,1,4
2023,MO,34762,Blue Cross and Blue Shield of Kansas City,16,1,4,3,5
2023,MO,47840,WellFirst Health,17,1,1,1,8
2023,MO,48161,Aetna CVS Health,27,1,3,3,12
2023,MO,53461,Medica,29,3,3,4,16
2023,MO,69512,Oscar Insurance Company,15,1,1,1,4
2023,MO,74483,Cigna Healthcare,29,1,2,3,11
2023,MO,95426,UnitedHealthcare,14,1,1,1,14
2023,MO,96384,Cox HealthPlans,9,1,1,1,5
2023,MO,99723,Ambetter from Home State Health,34,3,2,2,15
2023,MS,14624,Vantage Health Plan of Mississippi,8,1,1,1,3
2023,MS,56766,Cigna Healthcare,15,1,1,1,5
2023,MS,79975,Molina Healthcare,8,2,1,1,3
2023,MS,90714,Ambetter from Magnolia Health,25,3,2,1,6
2023,MS,97560,UnitedHealthcare,16,1,1,1,16
2023,MT,23603,PacificSource Health Plans,9,1,1,1,3
2023,MT,30751,Blue Cross and Blue Shield of Montana,65,2,2,7,28
2023,MT,32225,Mountain Health CO-OP,23,3,3,2,12
2023,NC,11512,Blue Cross and Blue Shield of NC,182,6,6,13,138
2023,NC,13591,CareSource,15,2,1,1,15
2023,NC,17414,AmeriHealth Caritas Next,4,1,1,1,3
2023,NC,44007,WellCare of North Carolina,6,1,1,1,3
2023,NC,54332,UnitedHealthcare,18,1,1,1,7
2023,NC,61671,Aetna CVS Health,9,1,1,1,4
2023,NC,69803,"Oscar Health Plan of North Carolina, Inc",21,1,1,1,4
2023,NC,73943,Cigna Healthcare,16,1,1,1,6
2023,NC,77264,Ambetter of North Carolina,45,3,2,2,28
2023,NC,77320,Friday Health Plans,22,1,1,1,9
2023,ND,37160,Blue Cross Blue Shield of North Dakota,13,3,3,2,5
2023,ND,73751,Medica,25,3,3,4,19
2023,ND,89364,Sanford Health Plan,24,2,2,2,10
2023,NE,20305,Medica,39,3,3,5,17
2023,NE,26289,Ambetter from Nebraska Total Care,31,3,2,1,20
2023,NE,29678,Blue Cross and Blue Shield of Nebraska,78,6,3,4,78
2023,NE,57424,Oscar Insurance Company,16,1,1,1,4
2023,NH,59025,Harvard Pilgrim Health Care,14,1,2,1,12
2023,NH,75841,Ambetter from NH Healthy Families,22,3,2,1,9
2023,NH,96751,Anthem Blue Cross and Blue Shield,19,1,2,1,6
2023,OH,28162,AultCare Insurance Company,42,1,3,3,3
2023,OH,29276,Anthem Blue Cross and Blue Shield,17,1,1,1,4
2023,OH,29341,Oscar Health Insurance,41,2,2,1,4
2023,OH,33931,UnitedHealthcare,16,1,2,1,16
2023,OH,41047,Ambetter from Buckeye Health Plan,30,3,2,1,10
2023,OH,45845,Oscar Insurance Corporation of Ohio,27,1,1,1,4
2023,OH,52664,SummaCare,20,1,1,1,3
2023,OH,64353,Molina Healthcare,6,2,1,1,2
2023,OH,74313,Paramount,17,1,1,2,6
2023,OH,77552,CareSource,12,2,1,1,2
2023,OH,99969,MedMutual,107,1,4,8,37
2023,OK,21333,Medica,26,3,4,4,13
2023,OK,45480,UnitedHealthcare,15,1,1,1,6
2023,OK,62505,Ambetter of Oklahoma,21,2,1,1,8
2023,OK,87571,Blue Cross and Blue Shield of Oklahoma,84,3,3,12,28
2023,OK,91538,Friday Health Plans,22,1,1,1,13
2023,OK,91908,Oscar Insurance Company,15,1,1,1,4
2023,OK,98905,CommunityCare,12,1,1,1,5
2023,OR,10091,PacificSource Health Plans,10,2,2,1,1
2023,OR,39424,"Moda Health Plan, Inc.",24,3,2,2,2
2023,OR,56707,Providence Health Plan,11,9,3,3,0
2023,OR,63474,BridgeSpan Health Company,3,1,1,1,0
2023,OR,71287,Kaiser Permanente,11,1,1,1,1
2023,OR,77969,Regence BlueCross BlueShield of Oregon,18,3,2,2,0
2023,SC,26065,BlueCross BlueShield of South Carolina,38,8,5,6,17
2023,SC,42326,Molina Healthcare,6,2,1,1,2
2023,SC,73033,Cigna Healthcare of South Carolina,19,1,1,1,19
2023,SC,73107,First Choice Next,4,1,1,1,4
2023,SC,79222,Ambetter from Absolute Total Care,26,3,2,1,8
2023,SD,31195,Sanford Health Plan,24,2,2,2,10
2023,SD,50305,"Wellmark of South Dakota, Inc.",7,1,1,1,7
2023,SD,60536,Avera Health Plans,33,2,2,3,25
2023,TN,14002,BlueCross BlueShield of Tennessee,188,1,3,8,115
2023,TN,23552,Oscar Insurance Company,21,1,1,1,4
2023,TN,31663,US Health and Life,9,1,1,1,9
2023,TN,69443,UnitedHealthcare,16,1,1,1,5
2023,TN,70111,Ambetter of Tennessee,35,3,2,2,19
2023,TN,99248,Cigna Healthcare,19,1,1,1,7
2023,TX,17933,"Moda Health, Inc.",10,1,1,1,3
2023,TX,20069,Oscar Insurance Company,32,2,2,2,8
2023,TX,26539,FirstCare Health Plans,9,1,1,1,0
2023,TX,27248,Community Health Choice,13,1,4,2,7
2023,TX,29418,Ambetter from Superior HealthPlan,14,2,1,1,5
2023,TX,33602,Blue Cross and Blue Shield of Texas,591,3,2,35,270
2023,TX,34826,"Imperial Insurance Companies, Inc.",6,2,1,1,6
2023,TX,40220,UnitedHealthcare,18,1,2,1,5
2023,TX,40788,Baylor Scott and White Health Plan,9,1,1,1,0
2023,TX,45786,Molina Healthcare,7,3,1,1,2
2023,TX,57125,US Health and Life,9,1,1,1,9
2023,TX,58840,Aetna CVS Health,48,1,6,6,36
2023,TX,63251,Community First,4,2,1,1,2
